percentage,concepts,secs
17.0,16,467.84
23.0,67,244.54
18.0,64,308.76
27.0,38,221.41
13.0,54,189.04
26.0,12,139.93
18.0,10,348.14
32.0,27,121.6
60.0,4,42.64
38.0,24,126.19
22.0,11,159.42
20.0,14,151.68
10.0,1,150.24
34.0,15,217.45
16.0,82,369.6
26.0,39,251.53
14.0,55,213.07
18.0,64,300.06
25.0,58,435.44
17.0,42,226.52
3.0,75,70.54
21.0,47,459.96
30.0,48,590.73
4.0,46,103.22
13.0,5,97.48
20.0,11,277.86
7.0,6,73.19
16.0,60,161.87
22.0,35,192.38
21.0,34,275.92
27.0,12,289.48
29.0,13,256.12
33.0,26,349.69
20.0,46,253.74
27.0,15,222.74
25.0,26,201.88
21.0,31,288.58
3.0,10,59.61
3.0,8,56.65
3.0,8,50.88
6.0,6,54.38
2.0,19,55.61
2.0,12,32.9
23.0,28,190.25
15.0,30,146.45
14.0,16,92.05
31.0,17,229.53
44.0,7,127.48
28.0,16,95.87
23.0,8,277.18
0.0,15,7.02
10.0,4,105.71
7.0,2,69.83
11.0,5,137.19
28.0,26,188.17
4.0,4,53.94
4.0,8,67.21
41.0,2,245.77
44.0,1,163.26
32.0,2,433.9
4.0,17,31.37
1.0,35,12.34
2.0,32,10.73
1.0,59,12.91
2.0,40,12.81
9.0,11,12.25
25.0,3,213.04
29.0,3,260.72
9.0,3,103.37
8.0,21,248.04
31.0,17,532.34
19.0,43,594.65
19.0,29,499.69
27.0,21,636.31
7.0,9,80.47
8.0,2,62.18
12.0,1,88.44
11.0,5,165.76
29.0,30,722.38
6.0,26,129.68
7.0,15,76.24
3.0,23,44.97
2.0,27,48.51
16.0,51,181.88
11.0,1,165.25
29.0,17,270.69
1.0,18,9.79
0.0,32,10.47
0.0,13,8.5
0.0,28,8.62
1.0,9,9.76
1.0,16,12.39
3.0,17,30.95
2.0,13,35.81
3.0,4,18.96
3.0,2,23.45
11.0,2,61.17
5.0,4,49.39
3.0,43,22.81
31.0,9,284.27
25.0,38,809.98
30.0,12,305.76
31.0,4,191.25
37.0,5,275.12
28.0,9,200.75
28.0,13,181.12
22.0,11,156.84
36.0,6,228.68
24.0,2,274.93
49.0,2,414.75
54.0,2,411.65
23.0,1,146.2
9.0,1,61.75
18.0,1,127.92
32.0,2,274.08
20.0,1,173.02
41.0,1,264.75
11.0,1,81.0
38.0,13,114.74
34.0,19,192.64
32.0,32,274.12
30.0,28,216.97
35.0,15,147.45
38.0,15,116.97
37.0,13,141.55
34.0,22,192.59
28.0,7,259.13
29.0,6,156.07
24.0,21,316.51
31.0,24,222.98
25.0,35,319.69
42.0,14,196.61
31.0,34,315.84
25.0,19,530.18
18.0,33,547.36
38.0,33,402.75
13.0,18,95.0
20.0,19,213.12
36.0,31,893.98
23.0,1,26.08
40.0,23,287.02
31.0,22,164.46
35.0,13,141.92
44.0,11,91.88
39.0,15,201.58
43.0,8,124.16
34.0,18,118.59
36.0,11,132.89
40.0,14,207.2
44.0,7,69.59
48.0,7,50.56
39.0,19,199.6
42.0,17,149.47
49.0,10,100.15
40.0,13,227.99
47.0,10,109.16
46.0,7,77.81
39.0,8,148.77
33.0,3,235.71
44.0,6,65.86
39.0,13,112.93
44.0,19,200.41
46.0,9,97.54
33.0,14,267.06
31.0,17,244.71
39.0,12,158.96
42.0,10,116.78
38.0,14,267.85
42.0,9,178.98
47.0,7,159.6
39.0,6,79.81
3.0,14,71.67
3.0,18,72.89
2.0,16,42.91
29.0,2,348.2
31.0,9,268.42
25.0,2,255.91
1.0,54,8.79
0.0,78,7.46
43.0,6,87.77
32.0,31,218.23
38.0,10,131.21
38.0,13,192.55
37.0,13,112.22
21.0,4,78.49
13.0,2,106.69
16.0,6,92.94
7.0,7,134.15
5.0,6,105.83
5.0,12,83.33
32.0,5,136.35
19.0,4,336.01
20.0,17,219.42
17.0,24,193.47
32.0,16,104.81
14.0,27,188.14
4.0,32,95.97
28.0,2,328.54
29.0,6,263.94
11.0,102,338.16
27.0,51,232.84
18.0,95,394.05
23.0,61,246.34
25.0,23,148.35
21.0,75,355.39
21.0,42,363.71
30.0,32,227.22
31.0,54,295.88
14.0,33,84.16
19.0,64,283.77
15.0,67,318.24
19.0,50,196.82
15.0,52,244.14
16.0,82,296.2
31.0,5,159.12
36.0,28,167.31
34.0,22,204.12
31.0,18,121.18
6.0,29,73.14
32.0,22,166.9
30.0,22,153.23
30.0,15,150.59
12.0,15,41.62
7.0,5,82.37
10.0,6,118.27
42.0,9,114.74
42.0,13,195.33
35.0,23,316.53
44.0,8,84.03
41.0,11,162.56
35.0,13,203.6
39.0,8,151.37
31.0,19,159.42
25.0,34,287.7
40.0,26,319.4
16.0,24,143.33
34.0,4,176.22
29.0,2,190.7
35.0,4,189.35
41.0,5,199.17
38.0,7,195.61
36.0,6,156.1
25.0,16,207.92
36.0,3,104.2
31.0,26,325.83
29.0,8,119.63
25.0,17,189.75
32.0,20,280.83
21.0,18,255.42
28.0,13,203.76
11.0,105,179.45
17.0,139,406.79
50.0,44,292.5
50.0,46,276.0
46.0,77,588.75
46.0,73,458.5
51.0,50,350.75
